Country Name,Country Code,Agricultural land (% of land area),Current account balance (% of GDP),Electricity production from coal sources (% of total),Fossil fuel energy consumption (% of total),Electric power consumption (kWh per capita),CO2 emissions (kg per 2000 US$ of GDP),CO2 emissions (metric tons per capita),"PM10, country level (micrograms per cubic meter)",Population density (people per sq. km),Population in urban agglomerations of more than 1 million (% of total population),"Inflation, consumer prices (annual %)",Real interest rate (%),"Highest marginal tax rate, corporate rate (%)","Highest marginal tax rate, individual rate (%)",Tax revenue (% of GDP),Ease of doing business index (1=most business-friendly regulations),Cost to export (US$ per container),Cost to import (US$ per container),Rigidity of employment index (0=less rigid to 100=more rigid),Total tax rate (% of profit),Information and communication technology expenditure per capita (current US$),Mobile cellular subscriptions (per 100 people),Telephone lines (per 100 people),Fixed broadband Internet subscribers (per 100 people),Internet users (per 100 people),General government final consumption expenditure (% of GDP),"Household final consumption expenditure, etc. (% of GDP)",Exports of goods and services (% of GDP),Gross capital formation (% of GDP),Imports of goods and services (% of GDP),GDP per capita (constant 2000 US$),GDP per capita growth (annual %),"Expenditure per student, primary (% of GDP per capita)","Expenditure per student, secondary (% of GDP per capita)","Public spending on education, total (% of GDP)","Health expenditure, private (% of GDP)","Health expenditure, public (% of GDP)",Employment in agriculture (% of total employment),Employment in industry (% of total employment),Employment in services (% of total employment),"Labor participation rate, total (% of total population ages 15+)",Labor force with primary education (% of total),Labor force with secondary education (% of total),Labor force with tertiary education (% of total),Long-term unemployment (% of total unemployment),"Unemployment, total (% of total labor force)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)",Population ages 15-64 (% of total),Researchers in R&D (per million people),Urban population (% of total),"Tariff rate, applied, weighted mean, all products (%)",High-technology exports (% of manufactured exports),GDP constant (2005 US$),GDP (current US$),Gross capital formation (% of GDP),Gross capital formation (annual % growth),Mortality rate infant (per 1000 live births),Mortality rate under-5 (per 1000 live births),Population (Total),Population (ages 0-14 % of total),Population (ages 15-64 % of total),Arable land (% of land area),Cereal yield (kg per hectare),Land under cereal production (hectares),LFP Female 15-64 ILO ,LFP Male 15-64 ILO ,LFP Total 15-64 ILO ,LF Tertiary Female %,LF Tertiary Male %,LF Tertiary Total %,Tertiary Enroll Female,Tertiary Enroll Male,Tertiary Enroll Total,Year
France,FRA,54.5949203,3.146897863,6.351252335,53.70644552,7377.916212,0.290303768,6.328722868,15.31510425,107.0398497,22.81396852,0.533377781,6.310079423,40,,23.39846166,31,,,52,,,36.56189126,57.80713485,0.093820609,9.16030308,23.15269532,55.42118737,26.1423164,19.33191322,24.04811231,21194.27244,2.871530096,17.30592472,28.5261021,5.793999558,,,4.2,26.3,69.4,55.2,32.79999924,43.70000076,23.5,40.4,12,78.5097561,74.9,65.01198263,2726.107909,75.62,3.13,22.45341831,1.90301E+12,1.45643E+12,18.80866979,7.753562168,4.5,5.5,60495470,19.09116936,65.02728271,33.52748918,7267.576,8853264,62.20000076,75.30000305,68.69999695,25.29999924,21.39999962,23.20000076,62.76133,51.07823,56.83758,1999
United Kingdom,GBR,71.17347993,-2.356480082,29.66214921,87.27103719,6007.484416,0.376333031,9.118780796,18.67896518,242.5596908,26.17626021,1.555385009,3.167682056,31,,28.03688909,6,,,10,,,46.32559238,57.97472792,,21.30108166,18.26709593,65.09491456,26.13149139,18.09040302,27.5839049,24230.615,3.128829391,14.10798557,24.15608377,4.600231947,,,1.5,25.9,72.2,61.3,18.39999962,47.09999847,25.39999962,29.6,6,77.42878049,74.98,64.99749025,2778.530058,89.32,3.13,29.80637248,1.92196E+12,1.51817E+12,18.34442866,1.975374087,5.7,6.7,58682466,19.16342545,65.03221893,24.4574877,7043.552,3141100,67.90000153,83.09999847,75.5,25.20000076,25.29999924,25.29999924,63.85216,55.58576,59.69694,1999
Greece,GRC,67.26144298,-5.427432014,65.55521814,94.18374091,4268.216484,0.72031539,7.954209685,46.81298405,84.42979054,29.10759901,2.636782729,11.61951739,40,,22.31773061,100,,,47,,,35.87246164,51.55684094,0,6.891482128,15.55622316,75.54276356,21.78560869,20.06431755,32.94891297,11042.67629,2.963252669,11.7177169,15.48596325,3.210934893,,,17.4,23,59.6,53,42.09999847,29.70000076,27.20000076,55.3,11.89999962,77.98780488,75.5,68.27329119,1352.31442,59.62,3.13,9.707967366,1.88517E+11,1.33187E+11,23.82614901,9.264015588,7.4,8.3,10882580,15.44262505,68.04338837,21.42746315,3667.831,1247637,50.59999847,77.5,64.09999847,21.29999924,17.39999962,18.89999962,48.85512,44.46265,46.56657,1999
Hungary,HUN,68.88641425,-7.85657062,27.24148869,81.74046041,3321.406628,1.33586382,5.882425155,25.84982727,114.0036748,17.66008988,10,7.365450176,18,,22.10873938,41,,,22,,,15.9037678,36.39333902,,5.860788686,10.5995182,65.696947,64.80080439,25.3504301,67.49032058,4403.46169,4.528776217,17.96236476,19.05454427,4.664879507,,,7.1,34,58.9,48.8,19.70000076,64.80000305,15.60000038,49.4,6.900000095,70.67707317,66.36,68.03328816,1228.096553,64.72,3.13,22.57449348,86312535580,48255011860,26.09193449,0.778554055,10.3,11.9,10237530,17.04796791,67.95284271,53.61915367,4706.357,2420630,51.90000153,67,59.29999924,18.79999924,14.60000038,16.5,36.07921,29.08004,32.49789,1999
Ireland,IRL,64.13122369,0.254008808,26.79531358,92.62837581,5433.55526,0.452842548,10.66414274,22.93296406,54.50718537,26.09371505,1.640271493,-0.653706771,28,,26.2485235,7,,,10,,,44.66045273,46.25832224,0,10.91877497,13.76074713,48.59520734,89.15171009,23.57523516,75.08289973,23549.33917,9.483800601,11.00035331,16.76491839,4.231026164,,,8.5,28.3,62.5,58.1,34.40000153,27.70000076,33.79999924,55.3,5.800000191,76.07365854,73.42,66.64449681,2100.62464,58.86,3.13,46.72787449,1.44279E+11,96584809810,23.70330126,8.242905979,6.1,7.3,3754786,22.18602562,66.54096222,15.61910292,7170.756,280488,54.40000153,78.59999847,66.5,26.5,19.70000076,22.5,51.19022,43.14975,47.11062,1999
Iceland,ISL,22.75311721,-6.733269831,0,25.97972973,24511.71171,0.247870341,7.446832432,20.78745982,2.7680798,,3.224749922,9.726588174,30,,26.56867409,11,,,21,,,62.20324324,66.65693694,0.029189189,41.44144144,22.93978829,59.94753942,33.58370812,21.80308432,38.27412015,30043.25736,2.780868269,,,,,,8.9,23.1,67.4,79.7,43.09999847,28.39999962,28.29999924,11.7,2,78.65853659,77,64.96139897,5664.476283,92.08,,16.60566515,12664909049,8742600398,21.80308742,-5.552066626,3.3,4.3,277381,23.52717209,64.9337616,1.286783042,,,82.19999695,89.59999847,86,18.89999962,18.29999924,18.60000038,50.44112,29.88613,40.0246,1999
Israel,ISR,25.83179298,-1.769734359,67.26507714,97.39884393,5974.367347,0.543620613,10.13955918,50.69114179,283.0406654,57.83515102,5.194455279,9.442261295,36,,,29,,,17,,,47.02040816,46.9877551,0,13.06122449,27.16727717,53.59977324,34.13134485,21.99110413,36.88949939,18651.90344,0.703366087,20.62207037,22.01551632,6.831204043,,,2.3,24.8,72.1,55.3,16.20000076,35.40000153,47.5,,8.899999619,78.65853659,77,61.69412531,,91.3,,19.06100828,1.10663E+11,1.10795E+11,21.75324534,6.579321347,5.9,7.2,6125000,28.18716431,61.81022644,15.38817006,1668.384,73742,55.09999847,67.09999847,61,53.79999924,42.20000076,47.5,57.48165,39.92109,48.44758,1999
Italy,ITA,53.71799667,0.675419934,10.88696457,91.80202606,5079.025431,0.412680178,7.672369287,32.60055334,193.538302,18.12240531,1.655629139,4.482125344,41.25,,24.5826624,74,,,38,,,53.2241304,46.55881648,,14.40579183,18.23002595,59.84935024,24.47369161,20.06141296,22.61448076,18591.56241,1.445383358,24.03426884,27.72838361,4.70319438,,,5.4,32.4,62.1,47.6,48.79999924,38.90000153,11.10000038,61.4,11.69999981,79.11512195,76.12,67.46631494,1141.470423,67.14,3.13,8.084070605,1.64103E+12,1.20818E+12,20.18153204,4.657816634,5,5.9,56916317,14.40343189,67.646698,29.0537554,5047.4,4173966,45.5,73.5,59.5,13.30000019,10.10000038,11.30000019,53.21701,42.06892,47.5657,1999
Japan,JPN,14.46090535,2.623275636,20.6372416,80.37983288,7813.896565,0.26337854,9.436427319,34.68488268,347.4622771,47.17802764,-0.330725175,3.495030874,48,,,13,,,12,,,44.88400474,48.99611844,0.170548756,21.36596921,16.51979006,57.04658052,10.27744386,24.84762733,8.69144177,35828.38344,-0.330934023,21.09002643,20.88344574,3.589945859,,,5.2,31.7,62.5,62.8,18.60000038,48,33.40000153,22.4,4.699999809,80.57073171,77.4,68.49770214,5208.771409,65.08,3.31,26.28042013,4.21299E+12,4.4326E+12,24.73137425,-5.145615793,3.4,4.7,126650000,14.85211563,68.5194931,12.35390947,5998.905,2047487,59.5,85.30000305,72.40000153,31.79999924,34.5,33.40000153,42.6835,50.39235,46.63007,1999
"Korea, Rep.",KOR,19.79135015,5.50559909,35.87964142,83.88978507,4878.79958,0.821324684,8.662357166,47.57772127,472.1665147,49.65939893,0.813896987,9.504662095,30.8,,14.28858851,23,,,38,,,50.2879293,54.9563464,0.596348971,23.29622241,12.30852677,51.88166337,39.0636178,29.12342143,32.37722937,10546.81217,8.711273329,18.41791624,15.65885506,3.7635065,,,11.6,27.4,60.9,60.5,32.90000153,43.59999847,23.5,3.8,6.300000191,75.37341463,71.71,71.7800902,2173.239431,79.32,5.89,31.91664008,6.25212E+11,4.45399E+11,29.12342143,24.13700403,4.9,5.8,46616677,21.32599068,71.66996765,17.20854857,6367.456,1171328,51.09999847,76,63.70000076,17.70000076,27.39999962,23.5,55.03485,91.53092,74.21758,1999
Luxembourg,LUX,,7.785763695,0,83.2156611,14985.77153,0.410869351,17.84016261,18.82809528,,,1.004836897,,37.45,,25.50296374,53,,,56,,,48.59515651,58.44125675,0,17.42261455,15.53291631,41.27059155,134.2684595,23.94301748,115.0149848,43420.5242,6.963431511,,,,,,1.9,21.7,71,51.9,30.20000076,33.59999847,32,32.3,2.400000095,77.77073171,74.6,67.07315942,,83.62,3.13,14.55255865,29126747252,21185382485,23.92102431,16.27096542,4.1,5.1,430475,18.90726852,67.06410217,,,,49.79999924,75.40000153,62.79999924,19.39999962,21,20.29999924,,,10.05674,1999
Netherlands,NLD,58.26421801,3.811740408,25.44952227,93.92364778,6400.695982,0.439650948,10.30556507,38.62074608,468.1575829,12.59204682,2.193026177,1.650210704,35,,22.62806421,28,,,42,,,42.67927871,60.82252452,,39.22809238,22.23421968,50.6933062,63.04024154,22.86188512,58.82965253,23440.33404,3.975770835,15.15338379,22.24062239,4.895225962,,,3,21.2,70.5,61.8,,,,43.5,3.5,77.83268293,75.34,67.94436274,2552.127472,76,3.13,32.85405952,5.7528E+11,4.11456E+11,22.86188512,5.95450279,5.2,6.3,15812088,18.54401207,67.96681976,27.07345972,7469.795,183084,64.40000153,82.59999847,73.59999847,22.70000076,23.79999924,23.29999924,49.89585,49.76065,49.82721,1999
Norway,NOR,3.411331668,5.569878598,0.067872008,55.06519177,25067.93722,0.251489358,9.190396413,19.43078565,14.65755225,,2.333138905,0.933138132,28,,,10,,,44,,,59.7309417,54.84304933,,24.66367713,21.58742239,48.13160962,39.3909028,22.93357282,32.04350763,36543.87805,1.385284271,,,7.108364384,,,4.6,22.2,73.1,67.1,12,57.5,29.89999962,7.1,3.200000048,78.30780488,75.62,64.81035869,4103.984353,75.64,,16.44954143,2.64126E+11,1.59045E+11,22.93357282,-7.962712701,4,5,4461913,19.96331406,64.71728516,2.898645984,3711.535,328220,75.59999847,84.5,80.09999847,31.79999924,27,29.20000076,77.58232,55.64783,66.42739,1999
New Zealand,NZL,55.6684472,-6.222790108,4.89644157,67.78142205,9131.443769,0.636379941,8.250711585,17.42629645,14.32557618,27.27438659,0.277914074,6.878859365,33,,,2,,,7,,,36.37454043,47.80579385,0,41.44436586,18.30796691,60.1854985,30.57843099,22.27760565,31.34950205,12965.07174,4.763341797,20.14467942,24.30938627,6.8573757,,,9.4,22.9,67.5,64.8,0.600000024,43.40000153,32.29999924,20.9,6.800000191,77.8902439,75.5,65.37966219,2289.013544,85.62,3.17,15.05990215,91534945003,58141345789,21.83170414,15.85781681,6.2,7.6,3835100,22.85965729,65.41168213,5.905586571,6168.581,141475,67,82.90000153,74.90000153,35.79999924,29.29999924,32.20000076,77.22686,52.73702,64.87824,1999
Poland,POL,60.56972007,-7.43459185,96.30288355,95.9725553,3171.943712,1.92949515,8.199974753,41.31525993,127.0140623,4.302535051,7.275,10.22906435,34,,,72,,,25,,,10.23462155,26.32106162,0,5.432252056,18.44998779,62.22065671,24.16900705,25.23603563,30.07568719,4249.803247,4.546271908,,,4.648475623,,,18.1,31.3,50.6,55.6,,,,34.8,12.5,73.04390244,68.8,68.01378547,1466.302252,61.66,3.13,2.581704554,2.50427E+11,1.67802E+11,25.25943084,5.964341446,8.6,9.9,38660271,20.06960869,67.87498474,46.23472204,2959.363,8701304,58.09999847,70.09999847,64.09999847,13.69999981,10.89999962,12.19999981,52.72695,38.39796,45.43876,1999
Portugal,PRT,42.21857923,-8.45405681,35.23589959,86.55870115,3811.578534,0.59586301,6.348436407,32.58280767,111.1912568,38.35291921,2.303885779,1.869754169,37.4,,21.34368197,48,,,43,,,45.91564773,41.57507372,0.002919206,14.74346373,18.61554467,63.76924168,27.91136347,27.79752032,38.09367015,10654.1878,3.382086476,19.48263261,27.52654246,5.286009405,,,12.6,34.3,53,60.6,69.80000305,11.5,8.899999619,41.2,4.400000095,75.96585366,72.6,67.73365504,1548.093201,53.74,3.13,4.934611185,1.77163E+11,1.26424E+11,28.71371819,7.750104652,6,7.9,10217828,16.40412903,67.60030365,18.7431694,2829.329,592930,62.70000076,78.59999847,70.5,12,7.400000095,9.5,50.57333,38.83293,44.62368,1999
Slovak Republic,SVK,50.79002079,-3.859961336,25.23038605,75.94743103,5029.54988,1.406830908,7.382853563,20.64852518,112.164553,,10.57044575,12.76924311,40,,,35,,,22,,,12.3087645,30.68294188,,5.418957705,20.15190403,56.43760799,61.21042586,27.81804053,65.61797841,5247.861362,-0.053912343,10.17268186,18.42692382,4.178103256,,,7.4,38.5,54.2,59.4,14.80000019,41.29999924,43.90000153,47.7,16.39999962,72.92560976,68.95,68.48104414,1711.906136,56.34,3.13,4.475382005,47617430668,29947934157,27.79660104,-16.25238489,10.5,12.2,5396020,20.33284378,68.38528442,31.995842,3856.681,733837,62.29999924,76.59999847,69.40000153,10.19999981,10.39999962,10.30000019,27.35535,24.59248,25.94743,1999
Slovenia,SVN,24.82621648,-3.146108123,33.78072689,74.11618128,5668.597331,0.788115791,7.562363133,38.48314564,98.58490566,,6.14945348,5.459176679,25,,22.07774602,58,,,54,,,31.80110803,38.1547721,,12.59128683,18.23082832,58.21606362,47.5533199,27.76967905,51.76989089,9595.497537,5.211973949,,,,,,10.8,37.8,51.2,58.2,21.70000076,62.59999847,15.89999962,42,7.400000095,74.93414634,71.3,69.96180399,2233.144976,50.76,3.13,3.911951548,28677216997,22309684226,27.71748528,16.1412592,4.8,5.8,1983045,16.31588554,69.93547058,8.490566038,5186.409,92549,63.09999847,72.19999695,67.69999695,18.5,13.60000038,15.89999962,60.68291,44.55845,52.35417,1999
Sweden,SWE,7.783978749,2.327100737,2.028584899,34.84884741,15471.69598,0.217495372,5.776010116,13.70561699,21.5860405,13.46724773,0.454014788,4.565295918,28,,24.66968711,17,,,38,,,57.87251338,66.49806941,0,41.38912096,26.91369138,49.34238744,43.16386617,17.29924749,36.71919249,26556.93347,4.529273483,22.47675808,26.24182403,7.301841692,,,2.5,25.1,72.2,63.2,21.29999924,49.40000153,28.5,30.1,7.099999905,79.43097561,77.07,64.1578994,4511.811849,83.96,3.13,21.26047358,3.10676E+11,2.58814E+11,17.73074619,5.722233003,3.5,4.2,8857874,18.59501648,64.10900879,6.687137496,4276.336,1153160,75.19999695,79.90000153,77.59999847,30.79999924,26.10000038,28.29999924,74.69497,52.89609,63.57991,1999
United States,USA,45.18930097,-3.273069161,52.11885749,85.84510116,13281.30017,0.589570131,19.89693549,24.99373864,30.46634116,42.9163912,2.188027197,6.455944667,40,,,4,,,0,,,30.83679759,67.91212729,0.987057769,36.55389908,14.3215208,68.16800851,10.75497494,20.33701526,13.5815195,33748.20814,3.296290806,17.85644941,22.48298303,5.083190109,,,2.6,23.3,74.2,66.7,14,51.70000076,34.20000076,6.8,4.199999809,76.93414634,74.3,65.92156686,4431.605243,78.74,1.98,34.21509617,1.11045E+13,9.6657E+12,23.30612372,8.004285884,7.2,8.6,279040000,21.49189758,66.09792328,19.14715208,5732.986,58530201,70,83,76.5,34.59999847,34,34.20000076,82.1398,62.18347,71.906,1999
Australia,AUS,59.29213907,-3.540868921,77.43217115,93.97297248,10054.61285,0.788651883,17.16740772,18.98158046,2.493133567,60.50577977,4.475183076,6.538500744,36,,22.98276613,9,,,0,,,44.70317966,52.47219757,,46.7999008,17.67899293,59.91606753,19.34649561,24.356234,21.29779007,21768.04252,2.718014466,16.9712442,14.6758251,4.998775304,,,5,21.7,73.3,63.3,29.29999924,43,27.60000038,25.5,6.300000191,79.23414634,76.6,66.78015095,3442.784432,87.2,10.91,15.22428391,5.90962E+11,4.15208E+11,26.00342441,5.446189586,5.1,6.2,19153000,20.74142456,66.8660965,6.157530948,1962.309,17554290,65.5,82.5,74,31.70000076,24.39999962,27.60000038,71.90926,58.3948,65.02531,2000
Austria,AUT,41.11582777,-0.700367446,11.25812326,76.43778931,7109.101896,0.322708696,7.701590711,37.13021557,97.16871448,19.33739374,2.395181166,,34,,19.88222794,26,,,24,,,76.35216626,49.89040519,2.377813908,33.70129948,19.1251301,54.6388921,46.41976023,24.48103388,44.66481631,23865.45762,3.529322308,22.8193088,27.57541148,5.674196262,,,5.8,30.3,63.8,58.3,21.29999924,69.09999847,9.600000381,25.8,4.699999809,78.04170732,75.11,67.58830299,,65.8,2.14,14.25238144,2.80623E+11,1.92071E+11,24.52928187,1.662454653,4.6,5.5,8011566,17.04982948,67.45179749,16.96785931,5541.308,852234,61.70000076,79.80000305,70.80000305,13.5,16.5,15.19999981,59.23563,55.02618,57.09374,2000
